train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2643, 0.7512, 0.7407, 0.6247, 0.7418, 0.2419, 0.7756, 0.7809, 0.6561, 0.7715, 
0.2356, 0.7696, 0.7618, 0.6530, 0.7663, 0.2216, 0.7959, 0.7764, 0.6797, 0.7910, 
0.2297, 0.7720, 0.7685, 0.6596, 0.7721, 0.2268, 0.7811, 0.7911, 0.6735, 0.7859, 
0.2265, 0.7763, 0.7699, 0.6634, 0.7753, 0.2262, 0.8035, 0.7661, 0.6763, 0.7864, 
0.2216, 0.7811, 0.7759, 0.6688, 0.7802, 0.2144, 0.7999, 0.7841, 0.6894, 0.7980, 
0.2200, 0.7810, 0.7785, 0.6712, 0.7817, 0.2051, 0.8079, 0.7907, 0.6993, 0.8073, 
0.2129, 0.7849, 0.7865, 0.6793, 0.7888, 0.2018, 0.8069, 0.7995, 0.7040, 0.8106, 
0.2102, 0.7870, 0.7899, 0.6828, 0.7914, 0.2026, 0.8085, 0.8033, 0.7028, 0.8097, 
0.2134, 0.7872, 0.7879, 0.6785, 0.7883, 0.2204, 0.7981, 0.7824, 0.6813, 0.7919, 
0.2128, 0.7885, 0.7858, 0.6796, 0.7889, 0.1973, 0.8024, 0.8131, 0.7090, 0.8151, 
0.2052, 0.7913, 0.7934, 0.6888, 0.7965, 0.2047, 0.7995, 0.8144, 0.7002, 0.8076, 
0.2014, 0.7954, 0.7989, 0.6935, 0.8002, 0.1989, 0.8009, 0.8054, 0.7067, 0.8134, 
0.1997, 0.7959, 0.8001, 0.6957, 0.8019, 0.1983, 0.8128, 0.8090, 0.7080, 0.8140, 
0.1997, 0.7974, 0.8002, 0.6956, 0.8019, 0.2006, 0.7974, 0.8258, 0.7039, 0.8117, 
0.1994, 0.7983, 0.8005, 0.6957, 0.8023, 0.2499, 0.8019, 0.7957, 0.6267, 0.7625, 
0.1953, 0.8009, 0.8053, 0.7007, 0.8064, 0.2036, 0.8092, 0.8013, 0.7037, 0.8087, 
0.1930, 0.8035, 0.8059, 0.7040, 0.8086, 0.1968, 0.8099, 0.8136, 0.7111, 0.8155, 
0.1907, 0.8060, 0.8095, 0.7068, 0.8109, 0.2009, 0.7964, 0.8121, 0.7044, 0.8114, 
0.1899, 0.8064, 0.8099, 0.7078, 0.8117, 0.1957, 0.8050, 0.8162, 0.7104, 0.8165, 
0.1858, 0.8113, 0.8133, 0.7129, 0.8158, 0.1990, 0.8101, 0.8085, 0.7093, 0.8133, 
0.1842, 0.8140, 0.8139, 0.7150, 0.8174, 0.1915, 0.8183, 0.8115, 0.7176, 0.8208, 
0.1826, 0.8164, 0.8161, 0.7173, 0.8190, 0.2014, 0.7961, 0.8152, 0.7043, 0.8108, 
0.1817, 0.8159, 0.8170, 0.7179, 0.8199, 0.1952, 0.8106, 0.8135, 0.7131, 0.8171, 
0.1797, 0.8196, 0.8188, 0.7207, 0.8219, 0.1953, 0.8068, 0.8207, 0.7114, 0.8170, 
0.1751, 0.8232, 0.8227, 0.7266, 0.8265, 0.1951, 0.8015, 0.8252, 0.7106, 0.8172, 
0.1721, 0.8264, 0.8256, 0.7302, 0.8295, 0.1935, 0.8171, 0.8074, 0.7148, 0.8188, 
0.1716, 0.8265, 0.8264, 0.7313, 0.8300, 0.2075, 0.8000, 0.7967, 0.7005, 0.8048, 
0.1683, 0.8315, 0.8283, 0.7353, 0.8333, 0.1997, 0.8046, 0.8113, 0.7075, 0.8125, 
0.1668, 0.8333, 0.8304, 0.7371, 0.8348, 0.2042, 0.8008, 0.8049, 0.7010, 0.8081, 
0.1621, 0.8375, 0.8357, 0.7433, 0.8394, 0.2005, 0.8051, 0.8109, 0.7075, 0.8117, 
0.1630, 0.8373, 0.8344, 0.7419, 0.8386, 0.2093, 0.7868, 0.8168, 0.6943, 0.8030, 
0.1626, 0.8366, 0.8346, 0.7428, 0.8390, 0.2100, 0.8066, 0.8025, 0.6970, 0.8023, 
0.1611, 0.8408, 0.8352, 0.7452, 0.8405, 0.1973, 0.8016, 0.8144, 0.7102, 0.8150, 
0.1591, 0.8404, 0.8388, 0.7469, 0.8425, 0.2084, 0.7936, 0.7944, 0.6957, 0.8039, 
0.1588, 0.8412, 0.8383, 0.7478, 0.8428, 0.2038, 0.8099, 0.7966, 0.7038, 0.8084, 
0.1592, 0.8423, 0.8359, 0.7473, 0.8423, 0.2027, 0.8029, 0.8100, 0.7039, 0.8095, 
0.1545, 0.8477, 0.8423, 0.7531, 0.8471, 0.1979, 0.8010, 0.8144, 0.7094, 0.8144, 
0.1533, 0.8480, 0.8431, 0.7549, 0.8483, 0.2056, 0.7912, 0.8016, 0.7004, 0.8067, 
0.1520, 0.8485, 0.8444, 0.7566, 0.8495, 0.2026, 0.8072, 0.7990, 0.7054, 0.8097, 
0.1476, 0.8544, 0.8487, 0.7623, 0.8540, 0.2159, 0.8111, 0.7839, 0.6940, 0.7963, 
