train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2398, 0.7857, 0.7665, 0.6524, 0.7658, 0.2162, 0.8151, 0.7922, 0.6869, 0.7965, 
0.2125, 0.8061, 0.7850, 0.6802, 0.7895, 0.2089, 0.8128, 0.8211, 0.6901, 0.8036, 
0.2033, 0.8116, 0.7955, 0.6910, 0.7985, 0.2051, 0.8321, 0.7896, 0.7018, 0.8073, 
0.2018, 0.8163, 0.7917, 0.6934, 0.8000, 0.2001, 0.8265, 0.8031, 0.7053, 0.8123, 
0.1945, 0.8201, 0.8032, 0.7023, 0.8072, 0.1919, 0.8246, 0.8237, 0.7152, 0.8205, 
0.1909, 0.8210, 0.8085, 0.7068, 0.8109, 0.1971, 0.8284, 0.8140, 0.7103, 0.8153, 
0.1892, 0.8228, 0.8077, 0.7088, 0.8125, 0.1893, 0.8331, 0.8181, 0.7195, 0.8230, 
0.1849, 0.8254, 0.8145, 0.7142, 0.8168, 0.1899, 0.8289, 0.8190, 0.7175, 0.8225, 
0.1872, 0.8242, 0.8109, 0.7112, 0.8144, 0.1925, 0.8174, 0.8219, 0.7142, 0.8198, 
0.1821, 0.8276, 0.8164, 0.7175, 0.8196, 0.1878, 0.8361, 0.8145, 0.7209, 0.8245, 
0.1798, 0.8287, 0.8208, 0.7204, 0.8218, 0.1803, 0.8389, 0.8343, 0.7289, 0.8320, 
0.1809, 0.8295, 0.8164, 0.7194, 0.8207, 0.1832, 0.8341, 0.8293, 0.7261, 0.8291, 
0.1768, 0.8312, 0.8236, 0.7241, 0.8248, 0.1834, 0.8279, 0.8335, 0.7254, 0.8289, 
0.1739, 0.8332, 0.8260, 0.7278, 0.8277, 0.1764, 0.8389, 0.8311, 0.7346, 0.8359, 
0.1700, 0.8379, 0.8290, 0.7327, 0.8316, 0.1816, 0.8449, 0.8209, 0.7306, 0.8307, 
0.1683, 0.8401, 0.8315, 0.7355, 0.8333, 0.1776, 0.8401, 0.8293, 0.7327, 0.8347, 
0.1723, 0.8379, 0.8295, 0.7306, 0.8294, 0.2116, 0.8192, 0.8087, 0.6912, 0.8008, 
0.1753, 0.8369, 0.8254, 0.7259, 0.8264, 0.1776, 0.8406, 0.8270, 0.7335, 0.8347, 
0.1671, 0.8418, 0.8322, 0.7367, 0.8345, 0.1849, 0.8227, 0.8334, 0.7245, 0.8274, 
0.1641, 0.8439, 0.8353, 0.7405, 0.8375, 0.1760, 0.8381, 0.8336, 0.7348, 0.8362, 
0.1609, 0.8473, 0.8380, 0.7447, 0.8407, 0.1841, 0.8345, 0.8164, 0.7265, 0.8282, 
0.1604, 0.8468, 0.8389, 0.7453, 0.8412, 0.1751, 0.8362, 0.8379, 0.7364, 0.8372, 
0.1549, 0.8536, 0.8435, 0.7526, 0.8467, 0.1765, 0.8429, 0.8269, 0.7358, 0.8358, 
0.1568, 0.8518, 0.8414, 0.7503, 0.8448, 0.1792, 0.8249, 0.8390, 0.7318, 0.8331, 
0.1568, 0.8526, 0.8419, 0.7506, 0.8447, 0.1864, 0.8316, 0.8268, 0.7240, 0.8258, 
0.1522, 0.8560, 0.8464, 0.7564, 0.8494, 0.1842, 0.8321, 0.8284, 0.7260, 0.8281, 
0.1495, 0.8599, 0.8484, 0.7597, 0.8521, 0.1837, 0.8348, 0.8256, 0.7273, 0.8286, 
0.1482, 0.8624, 0.8507, 0.7617, 0.8535, 0.1878, 0.8420, 0.8090, 0.7191, 0.8245, 
0.1493, 0.8590, 0.8484, 0.7596, 0.8523, 0.1797, 0.8320, 0.8313, 0.7301, 0.8326, 
0.1446, 0.8643, 0.8528, 0.7664, 0.8570, 0.1825, 0.8390, 0.8207, 0.7281, 0.8298, 
0.1443, 0.8650, 0.8536, 0.7668, 0.8573, 0.1822, 0.8347, 0.8267, 0.7289, 0.8300, 
0.1404, 0.8692, 0.8563, 0.7722, 0.8612, 0.1847, 0.8288, 0.8210, 0.7255, 0.8276, 
0.1359, 0.8749, 0.8604, 0.7785, 0.8657, 0.1780, 0.8428, 0.8254, 0.7347, 0.8342, 
0.1350, 0.8744, 0.8617, 0.7795, 0.8666, 0.1818, 0.8335, 0.8229, 0.7294, 0.8305, 
0.1316, 0.8780, 0.8655, 0.7842, 0.8700, 0.1819, 0.8409, 0.8133, 0.7297, 0.8304, 
0.1329, 0.8760, 0.8641, 0.7824, 0.8687, 0.1846, 0.8379, 0.8220, 0.7275, 0.8277, 
0.1287, 0.8807, 0.8687, 0.7883, 0.8729, 0.1829, 0.8391, 0.8237, 0.7284, 0.8294, 
0.1282, 0.8837, 0.8672, 0.7893, 0.8733, 0.1826, 0.8393, 0.8165, 0.7289, 0.8297, 
0.1237, 0.8855, 0.8730, 0.7952, 0.8779, 0.1832, 0.8333, 0.8217, 0.7271, 0.8290, 
0.1228, 0.8872, 0.8736, 0.7967, 0.8788, 0.1853, 0.8345, 0.8145, 0.7244, 0.8270, 
0.1210, 0.8885, 0.8752, 0.7995, 0.8806, 0.1890, 0.8370, 0.8072, 0.7222, 0.8233, 
0.1180, 0.8919, 0.8773, 0.8036, 0.8836, 0.1809, 0.8425, 0.8294, 0.7312, 0.8314, 
0.1187, 0.8912, 0.8777, 0.8027, 0.8829, 0.1838, 0.8284, 0.8308, 0.7270, 0.8285, 
0.1162, 0.8949, 0.8794, 0.8066, 0.8854, 0.1815, 0.8365, 0.8241, 0.7295, 0.8307, 
0.1128, 0.8970, 0.8834, 0.8112, 0.8888, 0.1819, 0.8305, 0.8280, 0.7277, 0.8303, 
0.1120, 0.8981, 0.8834, 0.8119, 0.8896, 0.1825, 0.8390, 0.8188, 0.7281, 0.8298, 
0.1132, 0.8981, 0.8818, 0.8108, 0.8884, 0.1823, 0.8319, 0.8340, 0.7282, 0.8300, 
0.1097, 0.9008, 0.8861, 0.8158, 0.8919, 0.1868, 0.8230, 0.8271, 0.7214, 0.8255, 
0.1051, 0.9056, 0.8898, 0.8221, 0.8964, 0.1919, 0.8309, 0.8052, 0.7175, 0.8204, 
0.1038, 0.9065, 0.8916, 0.8242, 0.8977, 0.1861, 0.8374, 0.8140, 0.7241, 0.8262, 
