train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.1827, 0.8153, 0.8500, 0.7217, 0.8236, 0.2747, 0.7883, 0.7544, 0.6572, 0.7377,
0.1494, 0.8432, 0.8729, 0.7610, 0.8531, 0.1435, 0.8417, 0.9072, 0.7784, 0.8692,
0.1387, 0.8503, 0.8851, 0.7756, 0.8634, 0.1279, 0.8731, 0.8974, 0.8024, 0.8847,
0.1329, 0.8542, 0.8898, 0.7832, 0.8690, 0.1534, 0.8566, 0.9185, 0.7643, 0.8591,
0.1284, 0.8601, 0.8950, 0.7907, 0.8735, 0.1348, 0.8730, 0.9134, 0.7916, 0.8778,
0.1266, 0.8606, 0.8949, 0.7933, 0.8752, 0.1152, 0.8784, 0.9151, 0.8224, 0.8973,
0.1231, 0.8632, 0.8974, 0.7984, 0.8787, 0.1302, 0.8706, 0.8997, 0.7968, 0.8822,
0.1228, 0.8633, 0.8973, 0.7983, 0.8789, 0.1190, 0.8819, 0.9176, 0.8174, 0.8934,
0.1207, 0.8638, 0.8996, 0.8021, 0.8810, 0.1186, 0.8772, 0.9272, 0.8168, 0.8937,
0.1174, 0.8670, 0.9030, 0.8071, 0.8844, 0.1325, 0.8700, 0.9220, 0.7955, 0.8799,
0.1228, 0.8618, 0.8996, 0.7994, 0.8789, 0.1192, 0.8813, 0.9252, 0.8142, 0.8932,
0.1179, 0.8668, 0.9031, 0.8063, 0.8838, 0.1069, 0.8873, 0.9198, 0.8336, 0.9055,
0.1150, 0.8697, 0.9044, 0.8107, 0.8866, 0.1128, 0.8854, 0.9245, 0.8240, 0.8996,
0.1123, 0.8719, 0.9051, 0.8149, 0.8893, 0.1223, 0.8821, 0.8876, 0.8108, 0.8901,
0.1141, 0.8718, 0.9043, 0.8119, 0.8876, 0.1118, 0.8858, 0.9119, 0.8257, 0.9005,
0.1127, 0.8726, 0.9059, 0.8143, 0.8889, 0.1048, 0.8840, 0.9252, 0.8368, 0.9076,
0.1092, 0.8751, 0.9096, 0.8196, 0.8925, 0.1104, 0.8884, 0.9122, 0.8308, 0.9020,
0.1099, 0.8750, 0.9079, 0.8189, 0.8917, 0.1082, 0.8835, 0.9200, 0.8314, 0.9042,
0.1076, 0.8757, 0.9105, 0.8221, 0.8940, 0.1052, 0.8907, 0.9241, 0.8385, 0.9071,
0.1066, 0.8768, 0.9129, 0.8235, 0.8950, 0.1041, 0.8898, 0.9314, 0.8396, 0.9082,
0.1073, 0.8777, 0.9106, 0.8225, 0.8944, 0.1065, 0.8853, 0.9233, 0.8338, 0.9058,
0.1044, 0.8803, 0.9119, 0.8270, 0.8972, 0.1098, 0.8855, 0.9122, 0.8319, 0.9025,
0.1049, 0.8795, 0.9116, 0.8261, 0.8967, 0.1107, 0.8879, 0.9029, 0.8292, 0.9016,
0.1044, 0.8806, 0.9127, 0.8263, 0.8972, 0.1047, 0.8884, 0.9179, 0.8380, 0.9076,
0.1006, 0.8834, 0.9174, 0.8330, 0.9010, 0.1106, 0.8884, 0.9125, 0.8316, 0.9017,
0.0993, 0.8855, 0.9165, 0.8344, 0.9023, 0.1044, 0.8921, 0.9211, 0.8396, 0.9080,
0.0978, 0.8854, 0.9190, 0.8370, 0.9038, 0.1120, 0.8900, 0.9139, 0.8280, 0.9003,
0.0984, 0.8871, 0.9185, 0.8363, 0.9033, 0.1063, 0.8874, 0.9235, 0.8384, 0.9060,
0.0959, 0.8888, 0.9209, 0.8390, 0.9057, 0.1058, 0.8935, 0.9067, 0.8384, 0.9065,
0.0951, 0.8901, 0.9201, 0.8409, 0.9065, 0.1071, 0.8916, 0.9114, 0.8375, 0.9052,
0.0926, 0.8928, 0.9236, 0.8446, 0.9090, 0.1080, 0.8856, 0.9221, 0.8358, 0.9043,
0.0924, 0.8945, 0.9210, 0.8449, 0.9092, 0.1031, 0.8917, 0.9200, 0.8427, 0.9092,
0.0900, 0.8949, 0.9239, 0.8485, 0.9116, 0.1076, 0.8913, 0.9075, 0.8374, 0.9047,
0.0900, 0.8953, 0.9243, 0.8485, 0.9117, 0.1050, 0.8915, 0.9069, 0.8373, 0.9074,
0.0882, 0.8976, 0.9270, 0.8515, 0.9134, 0.1084, 0.8870, 0.9147, 0.8336, 0.9039,
0.0899, 0.8977, 0.9256, 0.8482, 0.9118, 0.1036, 0.8928, 0.9229, 0.8404, 0.9087,
0.0901, 0.8979, 0.9248, 0.8478, 0.9115, 0.1068, 0.8916, 0.9130, 0.8374, 0.9055,
0.0851, 0.9020, 0.9287, 0.8560, 0.9165, 0.1043, 0.8926, 0.9088, 0.8386, 0.9080,
0.0854, 0.9021, 0.9303, 0.8554, 0.9162, 0.1135, 0.8855, 0.9145, 0.8295, 0.8987,
0.0863, 0.9020, 0.9281, 0.8539, 0.9153, 0.1153, 0.8893, 0.8973, 0.8266, 0.8970,
0.0822, 0.9054, 0.9308, 0.8604, 0.9194, 0.1114, 0.8855, 0.9003, 0.8313, 0.9009,
0.0822, 0.9049, 0.9326, 0.8604, 0.9194, 0.1064, 0.8909, 0.9141, 0.8378, 0.9059,
0.0792, 0.9086, 0.9353, 0.8652, 0.9224, 0.1127, 0.8820, 0.9006, 0.8246, 0.8996,
0.0796, 0.9088, 0.9341, 0.8640, 0.9220, 0.1150, 0.8839, 0.8984, 0.8273, 0.8973,
0.0805, 0.9078, 0.9325, 0.8631, 0.9211, 0.1097, 0.8818, 0.9178, 0.8332, 0.9026,
