train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.4259, 0.6992, 0.5563, 0.4538, 0.5759, 0.3965, 0.7586, 0.5854, 0.4974, 0.6219, 
0.3919, 0.7286, 0.5802, 0.4841, 0.6089, 0.4111, 0.7095, 0.5893, 0.4832, 0.6101, 
0.3905, 0.7290, 0.5824, 0.4851, 0.6102, 0.4002, 0.7659, 0.5745, 0.4955, 0.6181, 
0.3865, 0.7319, 0.5861, 0.4890, 0.6141, 0.3869, 0.7607, 0.5935, 0.5055, 0.6315, 
0.3837, 0.7349, 0.5874, 0.4918, 0.6169, 0.4174, 0.6971, 0.5801, 0.4774, 0.6010, 
0.3594, 0.7385, 0.6099, 0.5093, 0.6412, 0.3559, 0.7489, 0.6349, 0.5249, 0.6628, 
0.3513, 0.7406, 0.6165, 0.5148, 0.6493, 0.3539, 0.7412, 0.6439, 0.5250, 0.6645, 
0.3562, 0.7373, 0.6146, 0.5089, 0.6443, 0.4155, 0.6427, 0.6247, 0.4674, 0.6032, 
0.3496, 0.7432, 0.6183, 0.5160, 0.6510, 0.3534, 0.7760, 0.6137, 0.5302, 0.6650, 
0.3479, 0.7444, 0.6200, 0.5176, 0.6527, 0.4646, 0.5161, 0.5867, 0.4226, 0.5535, 
0.3453, 0.7471, 0.6211, 0.5205, 0.6552, 0.3504, 0.7717, 0.6259, 0.5328, 0.6680, 
0.3443, 0.7452, 0.6233, 0.5210, 0.6562, 0.3571, 0.7307, 0.6389, 0.5212, 0.6613, 
0.3430, 0.7464, 0.6237, 0.5224, 0.6575, 0.3488, 0.7477, 0.6441, 0.5303, 0.6696, 
0.3386, 0.7506, 0.6272, 0.5268, 0.6620, 0.3369, 0.7706, 0.6441, 0.5439, 0.6815, 
0.3377, 0.7519, 0.6274, 0.5279, 0.6628, 0.3366, 0.7729, 0.6427, 0.5443, 0.6819, 
0.3372, 0.7523, 0.6282, 0.5283, 0.6633, 0.3419, 0.7729, 0.6370, 0.5396, 0.6764, 
0.3368, 0.7528, 0.6281, 0.5288, 0.6638, 0.3412, 0.7649, 0.6423, 0.5394, 0.6772, 
0.3367, 0.7543, 0.6271, 0.5291, 0.6638, 0.3392, 0.7741, 0.6410, 0.5431, 0.6792, 
0.3365, 0.7528, 0.6289, 0.5292, 0.6641, 0.3370, 0.7686, 0.6443, 0.5435, 0.6813, 
0.3365, 0.7527, 0.6286, 0.5291, 0.6641, 0.3377, 0.7756, 0.6420, 0.5443, 0.6807, 
0.3367, 0.7525, 0.6292, 0.5289, 0.6638, 0.3350, 0.7709, 0.6453, 0.5457, 0.6833, 
0.3356, 0.7541, 0.6291, 0.5301, 0.6649, 0.3391, 0.7714, 0.6410, 0.5425, 0.6793, 
0.3350, 0.7549, 0.6295, 0.5308, 0.6655, 0.3366, 0.7783, 0.6377, 0.5458, 0.6818, 
0.3352, 0.7533, 0.6301, 0.5303, 0.6654, 0.3390, 0.7692, 0.6437, 0.5416, 0.6793, 
0.3342, 0.7543, 0.6311, 0.5314, 0.6664, 0.3340, 0.7711, 0.6459, 0.5464, 0.6843, 
0.3348, 0.7546, 0.6301, 0.5308, 0.6657, 0.3332, 0.7757, 0.6444, 0.5477, 0.6851, 
0.3346, 0.7548, 0.6301, 0.5309, 0.6659, 0.3377, 0.7731, 0.6425, 0.5434, 0.6806, 
0.3343, 0.7562, 0.6293, 0.5314, 0.6663, 0.3356, 0.7692, 0.6461, 0.5449, 0.6828, 
0.3349, 0.7546, 0.6304, 0.5308, 0.6656, 0.3339, 0.7734, 0.6467, 0.5470, 0.6844, 
0.3338, 0.7544, 0.6317, 0.5316, 0.6668, 0.3335, 0.7723, 0.6479, 0.5468, 0.6849, 
0.3332, 0.7558, 0.6320, 0.5324, 0.6674, 0.3397, 0.7695, 0.6453, 0.5416, 0.6789, 
0.3329, 0.7557, 0.6321, 0.5326, 0.6677, 0.3347, 0.7766, 0.6448, 0.5465, 0.6837, 
0.3304, 0.7571, 0.6337, 0.5347, 0.6702, 0.3265, 0.7760, 0.6554, 0.5533, 0.6918, 
0.3208, 0.7603, 0.6419, 0.5426, 0.6798, 0.3184, 0.7815, 0.6562, 0.5608, 0.6999, 
0.3179, 0.7620, 0.6439, 0.5452, 0.6826, 0.3164, 0.7809, 0.6594, 0.5619, 0.7020, 
0.3166, 0.7622, 0.6446, 0.5462, 0.6839, 0.3158, 0.7750, 0.6636, 0.5616, 0.7026, 
0.3133, 0.7640, 0.6463, 0.5492, 0.6873, 0.3108, 0.7860, 0.6610, 0.5675, 0.7076, 
0.3105, 0.7665, 0.6480, 0.5519, 0.6900, 0.3187, 0.7815, 0.6600, 0.5600, 0.6996, 
0.3092, 0.7661, 0.6494, 0.5530, 0.6914, 0.3109, 0.7885, 0.6594, 0.5674, 0.7075, 
0.3080, 0.7668, 0.6496, 0.5541, 0.6925, 0.3133, 0.7922, 0.6507, 0.5660, 0.7050, 
0.3075, 0.7671, 0.6501, 0.5542, 0.6930, 0.3076, 0.7818, 0.6683, 0.5695, 0.7107, 
0.3074, 0.7679, 0.6504, 0.5545, 0.6931, 0.3047, 0.7875, 0.6673, 0.5728, 0.7137, 
0.3053, 0.7690, 0.6514, 0.5566, 0.6952, 0.3082, 0.7897, 0.6627, 0.5705, 0.7102, 
0.3044, 0.7693, 0.6520, 0.5574, 0.6961, 0.3074, 0.7914, 0.6610, 0.5712, 0.7109, 
0.3041, 0.7681, 0.6525, 0.5575, 0.6964, 0.3142, 0.7857, 0.6583, 0.5646, 0.7042, 
0.3039, 0.7695, 0.6524, 0.5579, 0.6966, 0.3019, 0.7875, 0.6732, 0.5753, 0.7164, 
0.3029, 0.7688, 0.6542, 0.5586, 0.6976, 0.3157, 0.7808, 0.6587, 0.5623, 0.7026, 
0.3033, 0.7683, 0.6539, 0.5582, 0.6972, 0.3013, 0.7889, 0.6730, 0.5760, 0.7170, 
0.2736, 0.7766, 0.6871, 0.5873, 0.7269, 0.2693, 0.7962, 0.7046, 0.6085, 0.7491, 
0.2662, 0.7794, 0.6948, 0.5950, 0.7343, 0.2689, 0.7959, 0.7135, 0.6088, 0.7494, 
0.2652, 0.7808, 0.6949, 0.5962, 0.7353, 0.2660, 0.7984, 0.7154, 0.6119, 0.7524, 
0.2652, 0.7797, 0.6961, 0.5961, 0.7353, 0.2619, 0.8027, 0.7110, 0.6159, 0.7564, 
0.2640, 0.7798, 0.6974, 0.5974, 0.7365, 0.2698, 0.8014, 0.7018, 0.6091, 0.7485, 
0.2637, 0.7818, 0.6959, 0.5978, 0.7368, 0.2641, 0.7967, 0.7152, 0.6131, 0.7543, 
0.2635, 0.7813, 0.6969, 0.5979, 0.7370, 0.2610, 0.7966, 0.7187, 0.6162, 0.7573, 
0.2632, 0.7816, 0.6973, 0.5983, 0.7373, 0.2653, 0.8018, 0.7092, 0.6129, 0.7530, 
0.2428, 0.7878, 0.7255, 0.6228, 0.7577, 0.2313, 0.8081, 0.7536, 0.6526, 0.7870, 
0.2331, 0.7911, 0.7386, 0.6340, 0.7675, 0.2333, 0.8112, 0.7566, 0.6508, 0.7851, 
0.2333, 0.7917, 0.7373, 0.6339, 0.7672, 0.2423, 0.8071, 0.7413, 0.6424, 0.7760, 
0.2323, 0.7925, 0.7381, 0.6350, 0.7682, 0.2315, 0.8115, 0.7534, 0.6530, 0.7868, 
0.2327, 0.7913, 0.7388, 0.6344, 0.7678, 0.2391, 0.8048, 0.7602, 0.6443, 0.7792, 
0.2308, 0.7926, 0.7407, 0.6367, 0.7697, 0.2333, 0.7999, 0.7588, 0.6494, 0.7851, 
0.2316, 0.7932, 0.7387, 0.6360, 0.7689, 0.2333, 0.8073, 0.7573, 0.6501, 0.7850, 
0.2313, 0.7928, 0.7408, 0.6363, 0.7693, 0.2335, 0.8029, 0.7565, 0.6512, 0.7849, 
0.2299, 0.7938, 0.7415, 0.6380, 0.7706, 0.2319, 0.8168, 0.7537, 0.6544, 0.7864, 
0.2302, 0.7937, 0.7408, 0.6379, 0.7703, 0.2333, 0.8141, 0.7500, 0.6520, 0.7851, 
0.2304, 0.7947, 0.7404, 0.6376, 0.7701, 0.2313, 0.8097, 0.7575, 0.6537, 0.7870, 
0.2290, 0.7951, 0.7415, 0.6393, 0.7715, 0.2373, 0.8070, 0.7579, 0.6474, 0.7811, 
0.2289, 0.7952, 0.7423, 0.6395, 0.7717, 0.2293, 0.8078, 0.7614, 0.6553, 0.7890, 
0.2286, 0.7951, 0.7423, 0.6398, 0.7719, 0.2265, 0.8168, 0.7643, 0.6595, 0.7919, 
0.2283, 0.7955, 0.7422, 0.6401, 0.7722, 0.2301, 0.8177, 0.7533, 0.6559, 0.7882, 
0.2277, 0.7958, 0.7432, 0.6409, 0.7728, 0.2323, 0.8161, 0.7529, 0.6541, 0.7860, 
0.2277, 0.7959, 0.7425, 0.6408, 0.7728, 0.2300, 0.8076, 0.7527, 0.6548, 0.7883, 
0.2254, 0.7980, 0.7450, 0.6437, 0.7751, 0.2311, 0.8107, 0.7622, 0.6550, 0.7873, 
0.2265, 0.7970, 0.7441, 0.6425, 0.7740, 0.2272, 0.8189, 0.7515, 0.6585, 0.7912, 
0.2257, 0.7987, 0.7440, 0.6436, 0.7748, 0.2248, 0.8177, 0.7620, 0.6614, 0.7936, 
0.2255, 0.7976, 0.7451, 0.6435, 0.7750, 0.2272, 0.8135, 0.7565, 0.6584, 0.7912, 
0.2257, 0.7992, 0.7436, 0.6436, 0.7748, 0.2243, 0.8127, 0.7671, 0.6618, 0.7940, 
0.2249, 0.7986, 0.7459, 0.6444, 0.7756, 0.2259, 0.8165, 0.7599, 0.6599, 0.7924, 
0.2246, 0.7988, 0.7456, 0.6448, 0.7759, 0.2290, 0.8171, 0.7535, 0.6582, 0.7893, 
0.2245, 0.7981, 0.7467, 0.6450, 0.7760, 0.2298, 0.8116, 0.7569, 0.6559, 0.7885, 
0.2242, 0.7987, 0.7463, 0.6452, 0.7763, 0.2315, 0.8119, 0.7642, 0.6538, 0.7868, 
0.2238, 0.7991, 0.7468, 0.6458, 0.7768, 0.2279, 0.8111, 0.7660, 0.6577, 0.7904, 
0.2239, 0.7994, 0.7466, 0.6457, 0.7766, 0.2235, 0.8142, 0.7630, 0.6629, 0.7949, 
0.2236, 0.7993, 0.7469, 0.6460, 0.7769, 0.2223, 0.8156, 0.7630, 0.6643, 0.7960, 
0.2227, 0.8002, 0.7480, 0.6472, 0.7778, 0.2241, 0.8135, 0.7670, 0.6616, 0.7943, 
0.2233, 0.7991, 0.7475, 0.6465, 0.7772, 0.2302, 0.8210, 0.7490, 0.6568, 0.7881, 
0.2229, 0.8003, 0.7483, 0.6470, 0.7776, 0.2313, 0.8189, 0.7535, 0.6559, 0.7870, 
0.2224, 0.8008, 0.7481, 0.6475, 0.7781, 0.2220, 0.8152, 0.7648, 0.6651, 0.7964, 
0.2222, 0.8004, 0.7484, 0.6478, 0.7783, 0.2251, 0.8192, 0.7574, 0.6610, 0.7933, 
0.2219, 0.8011, 0.7482, 0.6481, 0.7786, 0.2236, 0.8127, 0.7698, 0.6623, 0.7948, 
0.2219, 0.8017, 0.7480, 0.6483, 0.7786, 0.2336, 0.8063, 0.7633, 0.6508, 0.7847, 
0.2211, 0.8019, 0.7490, 0.6490, 0.7794, 0.2274, 0.8184, 0.7556, 0.6593, 0.7909, 
0.2218, 0.8006, 0.7487, 0.6482, 0.7787, 0.2280, 0.8154, 0.7563, 0.6587, 0.7904, 
0.2217, 0.8016, 0.7481, 0.6486, 0.7788, 0.2258, 0.8144, 0.7613, 0.6612, 0.7925, 
0.2213, 0.8016, 0.7486, 0.6491, 0.7792, 0.2271, 0.8149, 0.7636, 0.6581, 0.7912, 
0.2210, 0.8021, 0.7485, 0.6494, 0.7795, 0.2328, 0.8189, 0.7487, 0.6549, 0.7855, 
0.2213, 0.8017, 0.7492, 0.6489, 0.7792, 0.2241, 0.8142, 0.7673, 0.6614, 0.7942, 
0.2210, 0.8027, 0.7488, 0.6493, 0.7795, 0.2285, 0.8115, 0.7672, 0.6573, 0.7899, 
0.2206, 0.8023, 0.7497, 0.6498, 0.7799, 0.2216, 0.8171, 0.7669, 0.6645, 0.7967, 
0.2207, 0.8025, 0.7492, 0.6497, 0.7798, 0.2250, 0.8109, 0.7704, 0.6601, 0.7933, 
0.2196, 0.8030, 0.7508, 0.6513, 0.7810, 0.2225, 0.8199, 0.7617, 0.6645, 0.7958, 
0.2197, 0.8029, 0.7506, 0.6509, 0.7808, 0.2243, 0.8158, 0.7650, 0.6618, 0.7940, 
0.2197, 0.8035, 0.7500, 0.6509, 0.7808, 0.2222, 0.8214, 0.7643, 0.6650, 0.7961, 
0.2202, 0.8027, 0.7498, 0.6501, 0.7803, 0.2205, 0.8168, 0.7673, 0.6658, 0.7978, 
0.2197, 0.8035, 0.7504, 0.6508, 0.7808, 0.2216, 0.8211, 0.7636, 0.6658, 0.7967, 
0.2194, 0.8036, 0.7505, 0.6514, 0.7812, 0.2265, 0.8145, 0.7590, 0.6605, 0.7918, 
0.2193, 0.8040, 0.7503, 0.6514, 0.7812, 0.2263, 0.8214, 0.7559, 0.6617, 0.7920, 
0.2196, 0.8035, 0.7506, 0.6512, 0.7809, 0.2228, 0.8059, 0.7701, 0.6625, 0.7955, 
0.2182, 0.8054, 0.7515, 0.6529, 0.7823, 0.2214, 0.8206, 0.7580, 0.6655, 0.7969, 
0.2190, 0.8040, 0.7512, 0.6519, 0.7816, 0.2268, 0.8235, 0.7599, 0.6606, 0.7915, 
0.2185, 0.8049, 0.7516, 0.6526, 0.7820, 0.2251, 0.8200, 0.7653, 0.6614, 0.7932, 
0.2188, 0.8038, 0.7511, 0.6522, 0.7817, 0.2209, 0.8158, 0.7657, 0.6653, 0.7975, 
0.2175, 0.8052, 0.7530, 0.6538, 0.7830, 0.2266, 0.8208, 0.7608, 0.6611, 0.7918, 
0.2178, 0.8060, 0.7531, 0.6537, 0.7827, 0.2206, 0.8202, 0.7644, 0.6662, 0.7977, 
0.2169, 0.8061, 0.7529, 0.6545, 0.7837, 0.2253, 0.8220, 0.7550, 0.6613, 0.7930, 
0.2178, 0.8057, 0.7522, 0.6536, 0.7827, 0.2205, 0.8221, 0.7627, 0.6668, 0.7978, 
0.2169, 0.8062, 0.7524, 0.6544, 0.7836, 0.2288, 0.8201, 0.7600, 0.6600, 0.7895, 
0.2172, 0.8054, 0.7528, 0.6541, 0.7833, 0.2353, 0.8227, 0.7434, 0.6537, 0.7830, 
0.2162, 0.8069, 0.7537, 0.6555, 0.7843, 0.2233, 0.8157, 0.7662, 0.6637, 0.7951, 
0.2176, 0.8063, 0.7530, 0.6539, 0.7829, 0.2188, 0.8216, 0.7660, 0.6686, 0.7996, 
0.2165, 0.8061, 0.7541, 0.6549, 0.7840, 0.2173, 0.8208, 0.7657, 0.6706, 0.8011, 
0.2166, 0.8060, 0.7534, 0.6548, 0.7839, 0.2202, 0.8195, 0.7661, 0.6668, 0.7982, 
0.2161, 0.8070, 0.7536, 0.6556, 0.7844, 0.2270, 0.8174, 0.7634, 0.6598, 0.7913, 
0.2163, 0.8064, 0.7532, 0.6551, 0.7842, 0.2216, 0.8119, 0.7746, 0.6639, 0.7967, 
0.2153, 0.8073, 0.7548, 0.6566, 0.7852, 0.2235, 0.8213, 0.7626, 0.6634, 0.7948, 
0.2155, 0.8077, 0.7540, 0.6565, 0.7850, 0.2216, 0.8121, 0.7743, 0.6641, 0.7968, 
0.2152, 0.8073, 0.7547, 0.6567, 0.7853, 0.2226, 0.8141, 0.7639, 0.6636, 0.7957, 
0.2150, 0.8087, 0.7549, 0.6570, 0.7855, 0.2301, 0.8100, 0.7616, 0.6565, 0.7883, 
0.2148, 0.8084, 0.7549, 0.6573, 0.7857, 0.2194, 0.8233, 0.7658, 0.6680, 0.7989, 
0.2145, 0.8084, 0.7554, 0.6574, 0.7860, 0.2262, 0.8195, 0.7575, 0.6603, 0.7921, 
0.2143, 0.8087, 0.7556, 0.6578, 0.7862, 0.2273, 0.8161, 0.7648, 0.6594, 0.7910, 
0.2148, 0.8088, 0.7556, 0.6574, 0.7857, 0.2229, 0.8195, 0.7684, 0.6633, 0.7954,  
0.2137, 0.8091, 0.7562, 0.6586, 0.7868, 0.2203, 0.8198, 0.7697, 0.6666, 0.7980, 
0.2142, 0.8087, 0.7562, 0.6579, 0.7863, 0.2248, 0.8112, 0.7610, 0.6611, 0.7936, 
0.2148, 0.8085, 0.7547, 0.6571, 0.7857, 0.2275, 0.8200, 0.7612, 0.6604, 0.7909, 
0.2140, 0.8091, 0.7561, 0.6582, 0.7865, 0.2235, 0.8224, 0.7585, 0.6638, 0.7949, 
0.2143, 0.8092, 0.7557, 0.6579, 0.7862, 0.2282, 0.8190, 0.7647, 0.6597, 0.7901, 
0.2138, 0.8092, 0.7560, 0.6585, 0.7867, 0.2205, 0.8221, 0.7655, 0.6663, 0.7978, 
0.2130, 0.8099, 0.7568, 0.6593, 0.7875, 0.2221, 0.8193, 0.7668, 0.6644, 0.7963, 
0.2124, 0.8114, 0.7568, 0.6604, 0.7881, 0.2269, 0.8229, 0.7584, 0.6619, 0.7915, 
0.2129, 0.8103, 0.7571, 0.6596, 0.7876, 0.2272, 0.8162, 0.7612, 0.6599, 0.7912, 
0.2117, 0.8118, 0.7575, 0.6612, 0.7888, 0.2253, 0.8137, 0.7673, 0.6611, 0.7931, 
0.2126, 0.8103, 0.7573, 0.6599, 0.7879, 0.2254, 0.8218, 0.7581, 0.6628, 0.7929, 
0.2125, 0.8106, 0.7571, 0.6602, 0.7880, 0.2238, 0.8235, 0.7580, 0.6644, 0.7945, 
0.2115, 0.8114, 0.7583, 0.6614, 0.7890, 0.2293, 0.8224, 0.7519, 0.6589, 0.7890, 
0.2121, 0.8108, 0.7578, 0.6608, 0.7884, 0.2191, 0.8232, 0.7661, 0.6687, 0.7992, 
0.2109, 0.8128, 0.7584, 0.6621, 0.7896, 0.2223, 0.8154, 0.7677, 0.6642, 0.7961, 
0.2110, 0.8114, 0.7590, 0.6618, 0.7895, 0.2269, 0.8208, 0.7561, 0.6606, 0.7914, 
0.2117, 0.8122, 0.7574, 0.6611, 0.7888, 0.2191, 0.8212, 0.7640, 0.6681, 0.7993, 
0.2111, 0.8116, 0.7582, 0.6619, 0.7894, 0.2246, 0.8236, 0.7550, 0.6632, 0.7938, 
0.2107, 0.8122, 0.7589, 0.6625, 0.7898, 0.2238, 0.8143, 0.7659, 0.6622, 0.7945, 
0.2115, 0.8124, 0.7578, 0.6615, 0.7890, 0.2211, 0.8235, 0.7572, 0.6664, 0.7972, 
0.2097, 0.8141, 0.7600, 0.6636, 0.7909, 0.2208, 0.8218, 0.7629, 0.6665, 0.7975, 
0.2093, 0.8139, 0.7602, 0.6641, 0.7912, 0.2228, 0.8197, 0.7643, 0.6640, 0.7955, 
0.2095, 0.8141, 0.7597, 0.6640, 0.7910, 0.2263, 0.8224, 0.7583, 0.6608, 0.7920, 
0.2086, 0.8147, 0.7600, 0.6650, 0.7920, 0.2229, 0.8264, 0.7594, 0.6660, 0.7954, 
0.2083, 0.8150, 0.7612, 0.6655, 0.7922, 0.2190, 0.8213, 0.7691, 0.6681, 0.7994, 
0.2079, 0.8147, 0.7616, 0.6660, 0.7926, 0.2186, 0.8267, 0.7653, 0.6700, 0.7998, 
0.2084, 0.8150, 0.7607, 0.6653, 0.7921, 0.2258, 0.8177, 0.7608, 0.6628, 0.7926, 
0.2084, 0.8144, 0.7614, 0.6654, 0.7921, 0.2211, 0.8246, 0.7612, 0.6660, 0.7972, 
0.2080, 0.8153, 0.7615, 0.6657, 0.7925, 0.2246, 0.8278, 0.7579, 0.6645, 0.7937, 
0.2080, 0.8153, 0.7617, 0.6658, 0.7925, 0.2221, 0.8162, 0.7705, 0.6657, 0.7962, 
